Governo Federal 2018, Poderes Legislativo e Judiciário, Órgão Superior, UO, UG, Ação e PO;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Filtro do relatório:;;;;;;;;;;;;;;;;;;;;;
({Esfera Orçamentária} = 1:ORCAMENTO FISCAL, 2:ORCAMENTO DE SEGURIDADE SOCIAL) E ({Mês Lançamento} = 014/2018) E ({Item Informação} = DOTACAO INICIAL, DOTACAO ATUALIZADA, DESPESAS EMPENHADAS, DESPESAS LIQUIDADAS, DESPESAS INSCRITAS EM RP NAO PROCESSADOS, DESPESAS PAGAS) E ({UO - Poder} = 1:PODER LEGISLATIVO, 2:PODER JUDICIARIO);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Páginas:;;;;;;;;;;;;;;;;;;;;;
Mês Lançamento: 014/2018;;;;;;;;;;;;;;;;;;;;;
Métrica: Saldo - R$ (Item Informação);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
UO - Órgão Superior;;Unidade Orçamentária;;UG Executora;;Ação Governo;;Plano Orçamentário;;;;;;;Item Informação;9;13;23;25;27;28
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90006;JUSTICA FEDERAL DE PRIMEIRO GRAU - CE;4257;JULGAMENTO DE CAUSAS NA JUSTICA FEDERAL;12101;2;61;569;4257;0;JULGAMENTO DE CAUSAS NA JUSTICA FEDERAL - DESPESAS DIVERSAS;;;;22.568.030,05;21.075.364,29;1.492.665,76;21.011.788,41
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90006;JUSTICA FEDERAL DE PRIMEIRO GRAU - CE;4257;JULGAMENTO DE CAUSAS NA JUSTICA FEDERAL;12101;2;61;569;4257;2;CAPACITACAO DE RECURSOS HUMANOS;;;;584.588,05;583.851,05;737;583.851,05
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90006;JUSTICA FEDERAL DE PRIMEIRO GRAU - CE;4257;JULGAMENTO DE CAUSAS NA JUSTICA FEDERAL;12101;2;61;569;4257;10;ACOES DE INFORMATICA;;;;6.673.368,38;5.930.520,33;742.848,05;5.503.177,56
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90007;JUSTICA FEDERAL DE PRIMEIRO GRAU - RN;181;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;12101;9;272;89;181;0;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;;;;20.599.623,55;20.599.623,55;;20.599.623,55
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90007;JUSTICA FEDERAL DE PRIMEIRO GRAU - RN;09HB;CONTRIBUICAO DA UNIAO, DE SUAS AUTARQUIAS E FUNDACOES PARA O;12101;2;846;569;09HB;0;CONTRIBUICAO DA UNIAO, DE SUAS AUTARQUIAS E FUNDACOES PARA O CUSTEIO DO REGIME DE PREVIDENCIA DOS SERVIDORES PUBLICOS FEDERAIS;;;;15.111.887,72;15.111.887,72;;15.111.887,72
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90007;JUSTICA FEDERAL DE PRIMEIRO GRAU - RN;13MA;CONSTRUCAO DO EDIFICIO-SEDE DA JUSTICA FEDERAL EM ASSU - RN;12101;2;122;569;13MA;0;CONSTRUCAO DO EDIFICIO-SEDE DA JUSTICA FEDERAL EM ASSU - RN;;;;2.431.907,00;2.431.907,00;;2.431.907,00
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90007;JUSTICA FEDERAL DE PRIMEIRO GRAU - RN;2004;ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR;12101;2;301;569;2004;1;ASSISTENCIA MEDICA E ODONTOLOGICA DE CIVIS - COMPLEMENTACAO DA UNIAO;;;;1.868.049,70;1.868.049,70;;1.868.049,70
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90007;JUSTICA FEDERAL DE PRIMEIRO GRAU - RN;20TP;ATIVOS CIVIS DA UNIAO;12101;2;122;569;20TP;0;ATIVOS CIVIS DA UNIAO;;;;92.195.019,63;92.076.912,61;118.107,02;92.076.912,61
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90007;JUSTICA FEDERAL DE PRIMEIRO GRAU - RN;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;12101;2;331;569;212B;1;ASSISTENCIA PRE-ESCOLAR AOS DEPENDENTES DE SERVIDORES CIVIS E DE EMPREGADOS;;;;1.143.005,04;1.143.005,04;;1.143.005,04
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90007;JUSTICA FEDERAL DE PRIMEIRO GRAU - RN;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;12101;2;331;569;212B;3;AUXILIO-TRANSPORTE DE CIVIS;;;;100.240,78;100.240,78;;100.240,78
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90007;JUSTICA FEDERAL DE PRIMEIRO GRAU - RN;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;12101;2;331;569;212B;5;AUXILIO-ALIMENTACAO DE CIVIS;;;;4.817.318,49;4.817.318,49;;4.817.318,49
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90007;JUSTICA FEDERAL DE PRIMEIRO GRAU - RN;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;12101;2;331;569;212B;9;AUXILIO-FUNERAL E NATALIDADE DE CIVIS;;;;36.993,37;36.993,37;;36.993,37
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90007;JUSTICA FEDERAL DE PRIMEIRO GRAU - RN;216H;AJUDA DE CUSTO PARA MORADIA OU AUXILIO-MORADIA A AGENTES PUB;12101;2;122;569;216H;0;AJUDA DE CUSTO PARA MORADIA OU AUXILIO-MORADIA A AGENTES PUBLICOS - DESPESAS DIVERSAS;;;;236.899,00;236.899,00;;236.899,00
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90007;JUSTICA FEDERAL DE PRIMEIRO GRAU - RN;216H;AJUDA DE CUSTO PARA MORADIA OU AUXILIO-MORADIA A AGENTES PUB;12101;2;122;569;216H;AMMM;AJUDA DE CUSTO PARA MORADIA A MAGISTRADOS E MEMBROS DO MINISTERIO PUBLICO - ATIVOS;;;;1.094.432,50;1.094.432,50;;1.094.432,50
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90007;JUSTICA FEDERAL DE PRIMEIRO GRAU - RN;216H;AJUDA DE CUSTO PARA MORADIA OU AUXILIO-MORADIA A AGENTES PUB;12101;2;122;569;216H;AMOA;AUXILIO-MORADIA PARA OUTROS AGENTES PUBLICOS - ATIVOS;;;;88.777,50;88.777,50;;88.777,50
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90007;JUSTICA FEDERAL DE PRIMEIRO GRAU - RN;2549;COMUNICACAO E DIVULGACAO INSTITUCIONAL;12101;2;131;569;2549;0;COMUNICACAO E DIVULGACAO INSTITUCIONAL - DESPESAS DIVERSAS;;;;203.679,10;203.679,10;;203.679,10
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90007;JUSTICA FEDERAL DE PRIMEIRO GRAU - RN;4224;ASSISTENCIA JURIDICA A PESSOAS CARENTES;12101;2;61;569;4224;0;ASSISTENCIA JURIDICA A PESSOAS CARENTES;;;;4.621.084,40;4.621.084,40;;4.621.084,40
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90007;JUSTICA FEDERAL DE PRIMEIRO GRAU - RN;4257;JULGAMENTO DE CAUSAS NA JUSTICA FEDERAL;12101;2;61;569;4257;0;JULGAMENTO DE CAUSAS NA JUSTICA FEDERAL - DESPESAS DIVERSAS;;;;13.413.455,23;13.129.520,75;283.934,48;13.129.520,75
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90007;JUSTICA FEDERAL DE PRIMEIRO GRAU - RN;4257;JULGAMENTO DE CAUSAS NA JUSTICA FEDERAL;12101;2;61;569;4257;2;CAPACITACAO DE RECURSOS HUMANOS;;;;449.648,42;434.196,42;15.452,00;434.196,42
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90007;JUSTICA FEDERAL DE PRIMEIRO GRAU - RN;4257;JULGAMENTO DE CAUSAS NA JUSTICA FEDERAL;12101;2;61;569;4257;3;MODERNIZACAO DE INSTALACOES DA JUSTICA FEDERAL;;;;1.024.000,00;1.014.379,95;9.620,05;948.589,20
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90007;JUSTICA FEDERAL DE PRIMEIRO GRAU - RN;4257;JULGAMENTO DE CAUSAS NA JUSTICA FEDERAL;12101;2;61;569;4257;10;ACOES DE INFORMATICA;;;;1.781.686,86;1.687.475,35;94.211,51;1.687.475,35
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90007;JUSTICA FEDERAL DE PRIMEIRO GRAU - RN;7V68;REFORMA DO EDIFICIO-SEDE DA SECAO JUDICIARIA EM NATAL - RN;12101;2;122;569;7V68;0;REFORMA DO EDIFICIO-SEDE DA SECAO JUDICIARIA EM NATAL - RN;;;;515.990,00;515.990,00;;515.990,00
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90008;JUSTICA FEDERAL DE PRIMEIRO GRAU - PB;181;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;12101;9;272;89;181;0;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;;;;19.305.510,28;19.305.510,28;;19.305.510,28
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90008;JUSTICA FEDERAL DE PRIMEIRO GRAU - PB;09HB;CONTRIBUICAO DA UNIAO, DE SUAS AUTARQUIAS E FUNDACOES PARA O;12101;2;846;569;09HB;0;CONTRIBUICAO DA UNIAO, DE SUAS AUTARQUIAS E FUNDACOES PARA O CUSTEIO DO REGIME DE PREVIDENCIA DOS SERVIDORES PUBLICOS FEDERAIS;;;;17.694.200,53;17.694.200,53;;17.694.200,53
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90008;JUSTICA FEDERAL DE PRIMEIRO GRAU - PB;2004;ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR;12101;2;301;569;2004;1;ASSISTENCIA MEDICA E ODONTOLOGICA DE CIVIS - COMPLEMENTACAO DA UNIAO;;;;2.135.486,06;2.135.486,06;;2.135.486,06
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90008;JUSTICA FEDERAL DE PRIMEIRO GRAU - PB;20TP;ATIVOS CIVIS DA UNIAO;12101;2;122;569;20TP;0;ATIVOS CIVIS DA UNIAO;;;;102.833.893,19;102.723.250,04;110.643,15;102.723.250,04
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90008;JUSTICA FEDERAL DE PRIMEIRO GRAU - PB;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;12101;2;331;569;212B;1;ASSISTENCIA PRE-ESCOLAR AOS DEPENDENTES DE SERVIDORES CIVIS E DE EMPREGADOS;;;;1.173.918,74;1.173.918,74;;1.173.918,74
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90008;JUSTICA FEDERAL DE PRIMEIRO GRAU - PB;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;12101;2;331;569;212B;3;AUXILIO-TRANSPORTE DE CIVIS;;;;25.263,79;25.263,79;;25.263,79
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90008;JUSTICA FEDERAL DE PRIMEIRO GRAU - PB;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;12101;2;331;569;212B;5;AUXILIO-ALIMENTACAO DE CIVIS;;;;5.395.199,76;5.395.199,76;;5.395.199,76
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90008;JUSTICA FEDERAL DE PRIMEIRO GRAU - PB;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;12101;2;331;569;212B;9;AUXILIO-FUNERAL E NATALIDADE DE CIVIS;;;;40.583,86;40.583,86;;40.583,86
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90008;JUSTICA FEDERAL DE PRIMEIRO GRAU - PB;216H;AJUDA DE CUSTO PARA MORADIA OU AUXILIO-MORADIA A AGENTES PUB;12101;2;122;569;216H;0;AJUDA DE CUSTO PARA MORADIA OU AUXILIO-MORADIA A AGENTES PUBLICOS - DESPESAS DIVERSAS;;;;268.868,00;268.868,00;;268.868,00
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90008;JUSTICA FEDERAL DE PRIMEIRO GRAU - PB;216H;AJUDA DE CUSTO PARA MORADIA OU AUXILIO-MORADIA A AGENTES PUB;12101;2;122;569;216H;AMMM;AJUDA DE CUSTO PARA MORADIA A MAGISTRADOS E MEMBROS DO MINISTERIO PUBLICO - ATIVOS;;;;1.225.764,40;1.225.764,40;;1.225.764,40
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90008;JUSTICA FEDERAL DE PRIMEIRO GRAU - PB;216H;AJUDA DE CUSTO PARA MORADIA OU AUXILIO-MORADIA A AGENTES PUB;12101;2;122;569;216H;AMOA;AUXILIO-MORADIA PARA OUTROS AGENTES PUBLICOS - ATIVOS;;;;219.178,71;219.178,71;;219.178,71
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90008;JUSTICA FEDERAL DE PRIMEIRO GRAU - PB;2549;COMUNICACAO E DIVULGACAO INSTITUCIONAL;12101;2;131;569;2549;0;COMUNICACAO E DIVULGACAO INSTITUCIONAL - DESPESAS DIVERSAS;;;;69.164,32;65.954,32;3.210,00;65.954,32
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90008;JUSTICA FEDERAL DE PRIMEIRO GRAU - PB;4224;ASSISTENCIA JURIDICA A PESSOAS CARENTES;12101;2;61;569;4224;0;ASSISTENCIA JURIDICA A PESSOAS CARENTES;;;;4.447.755,86;4.447.755,86;;4.447.755,86
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90008;JUSTICA FEDERAL DE PRIMEIRO GRAU - PB;4257;JULGAMENTO DE CAUSAS NA JUSTICA FEDERAL;12101;2;61;569;4257;0;JULGAMENTO DE CAUSAS NA JUSTICA FEDERAL - DESPESAS DIVERSAS;;;;10.198.177,03;9.584.014,79;614.162,24;9.584.014,79
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90008;JUSTICA FEDERAL DE PRIMEIRO GRAU - PB;4257;JULGAMENTO DE CAUSAS NA JUSTICA FEDERAL;12101;2;61;569;4257;2;CAPACITACAO DE RECURSOS HUMANOS;;;;145.716,92;145.716,92;;145.716,92
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90008;JUSTICA FEDERAL DE PRIMEIRO GRAU - PB;4257;JULGAMENTO DE CAUSAS NA JUSTICA FEDERAL;12101;2;61;569;4257;3;MODERNIZACAO DE INSTALACOES DA JUSTICA FEDERAL;;;;3.079.972,02;2.074.150,24;1.005.821,78;2.074.150,24
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90008;JUSTICA FEDERAL DE PRIMEIRO GRAU - PB;4257;JULGAMENTO DE CAUSAS NA JUSTICA FEDERAL;12101;2;61;569;4257;10;ACOES DE INFORMATICA;;;;574.034,41;542.625,69;31.408,72;542.625,69
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90009;JUSTICA FEDERAL DE PRIMEIRO GRAU - PE;181;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;12101;9;272;89;181;0;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;;;;42.011.961,31;42.011.961,31;;42.011.961,31
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90009;JUSTICA FEDERAL DE PRIMEIRO GRAU - PE;09HB;CONTRIBUICAO DA UNIAO, DE SUAS AUTARQUIAS E FUNDACOES PARA O;12101;2;846;569;09HB;0;CONTRIBUICAO DA UNIAO, DE SUAS AUTARQUIAS E FUNDACOES PARA O CUSTEIO DO REGIME DE PREVIDENCIA DOS SERVIDORES PUBLICOS FEDERAIS;;;;32.808.446,16;32.808.446,16;;32.808.446,16
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90009;JUSTICA FEDERAL DE PRIMEIRO GRAU - PE;158Q;IMPLANTACAO DE DATA CENTERS NA JUSTICA FEDERAL DE 1. GRAU DA;12101;2;126;569;158Q;2;IMPLANTACAO DE DATA CENTER NA SECAO JUDICIARIA DE RECIFE - PE;;;;4.227.474,25;3.264.975,36;962.498,89;3.264.975,36
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90009;JUSTICA FEDERAL DE PRIMEIRO GRAU - PE;2004;ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR;12101;2;301;569;2004;1;ASSISTENCIA MEDICA E ODONTOLOGICA DE CIVIS - COMPLEMENTACAO DA UNIAO;;;;3.166.314,38;3.166.314,38;;3.166.314,38
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90009;JUSTICA FEDERAL DE PRIMEIRO GRAU - PE;20TP;ATIVOS CIVIS DA UNIAO;12101;2;122;569;20TP;0;ATIVOS CIVIS DA UNIAO;;;;194.512.191,28;194.304.348,53;207.842,75;194.304.348,53
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90009;JUSTICA FEDERAL DE PRIMEIRO GRAU - PE;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;12101;2;331;569;212B;1;ASSISTENCIA PRE-ESCOLAR AOS DEPENDENTES DE SERVIDORES CIVIS E DE EMPREGADOS;;;;2.606.853,16;2.606.853,16;;2.606.853,16
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90009;JUSTICA FEDERAL DE PRIMEIRO GRAU - PE;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;12101;2;331;569;212B;3;AUXILIO-TRANSPORTE DE CIVIS;;;;623.820,10;623.820,10;;623.820,10
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90009;JUSTICA FEDERAL DE PRIMEIRO GRAU - PE;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;12101;2;331;569;212B;5;AUXILIO-ALIMENTACAO DE CIVIS;;;;10.382.017,76;10.382.017,76;;10.382.017,76
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90009;JUSTICA FEDERAL DE PRIMEIRO GRAU - PE;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;12101;2;331;569;212B;9;AUXILIO-FUNERAL E NATALIDADE DE CIVIS;;;;85.258,23;85.258,23;;85.258,23
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90009;JUSTICA FEDERAL DE PRIMEIRO GRAU - PE;216H;AJUDA DE CUSTO PARA MORADIA OU AUXILIO-MORADIA A AGENTES PUB;12101;2;122;569;216H;0;AJUDA DE CUSTO PARA MORADIA OU AUXILIO-MORADIA A AGENTES PUBLICOS - DESPESAS DIVERSAS;;;;520.393,94;520.393,94;;520.393,94
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90009;JUSTICA FEDERAL DE PRIMEIRO GRAU - PE;216H;AJUDA DE CUSTO PARA MORADIA OU AUXILIO-MORADIA A AGENTES PUB;12101;2;122;569;216H;AMMM;AJUDA DE CUSTO PARA MORADIA A MAGISTRADOS E MEMBROS DO MINISTERIO PUBLICO - ATIVOS;;;;2.487.426,18;2.487.426,18;;2.487.426,18
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90009;JUSTICA FEDERAL DE PRIMEIRO GRAU - PE;216H;AJUDA DE CUSTO PARA MORADIA OU AUXILIO-MORADIA A AGENTES PUB;12101;2;122;569;216H;AMOA;AUXILIO-MORADIA PARA OUTROS AGENTES PUBLICOS - ATIVOS;;;;143.807,75;143.807,75;;143.807,75
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90009;JUSTICA FEDERAL DE PRIMEIRO GRAU - PE;4224;ASSISTENCIA JURIDICA A PESSOAS CARENTES;12101;2;61;569;4224;0;ASSISTENCIA JURIDICA A PESSOAS CARENTES;;;;5.372.693,54;5.372.693,54;;5.372.693,54
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90009;JUSTICA FEDERAL DE PRIMEIRO GRAU - PE;4257;JULGAMENTO DE CAUSAS NA JUSTICA FEDERAL;12101;2;61;569;4257;0;JULGAMENTO DE CAUSAS NA JUSTICA FEDERAL - DESPESAS DIVERSAS;;;;21.793.358,24;20.836.698,77;956.659,47;20.836.698,77
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90009;JUSTICA FEDERAL DE PRIMEIRO GRAU - PE;4257;JULGAMENTO DE CAUSAS NA JUSTICA FEDERAL;12101;2;61;569;4257;2;CAPACITACAO DE RECURSOS HUMANOS;;;;299.159,67;293.015,43;6.144,24;293.015,43
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90009;JUSTICA FEDERAL DE PRIMEIRO GRAU - PE;4257;JULGAMENTO DE CAUSAS NA JUSTICA FEDERAL;12101;2;61;569;4257;3;MODERNIZACAO DE INSTALACOES DA JUSTICA FEDERAL;;;;234.999,51;234.901,35;98,16;234.901,35
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90009;JUSTICA FEDERAL DE PRIMEIRO GRAU - PE;4257;JULGAMENTO DE CAUSAS NA JUSTICA FEDERAL;12101;2;61;569;4257;10;ACOES DE INFORMATICA;;;;8.297.081,16;7.463.394,06;833.687,10;7.463.394,06
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90010;JUSTICA FEDERAL DE PRIMEIRO GRAU - AL;181;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;12101;9;272;89;181;0;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;;;;11.531.204,17;11.531.204,17;;11.531.204,17
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90010;JUSTICA FEDERAL DE PRIMEIRO GRAU - AL;09HB;CONTRIBUICAO DA UNIAO, DE SUAS AUTARQUIAS E FUNDACOES PARA O;12101;2;846;569;09HB;0;CONTRIBUICAO DA UNIAO, DE SUAS AUTARQUIAS E FUNDACOES PARA O CUSTEIO DO REGIME DE PREVIDENCIA DOS SERVIDORES PUBLICOS FEDERAIS;;;;13.353.821,85;13.353.821,85;;13.353.821,85
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90010;JUSTICA FEDERAL DE PRIMEIRO GRAU - AL;12SK;REFORMA DO EDIFICIO-SEDE DA SECAO JUDICIARIA EM MACEIO - AL;12101;2;122;569;12SK;0;REFORMA DO EDIFICIO-SEDE DA SECAO JUDICIARIA EM MACEIO - AL;;;;130.214,23;102.246,08;27.968,15;102.246,08
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90010;JUSTICA FEDERAL DE PRIMEIRO GRAU - AL;2004;ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR;12101;2;301;569;2004;1;ASSISTENCIA MEDICA E ODONTOLOGICA DE CIVIS - COMPLEMENTACAO DA UNIAO;;;;1.989.885,31;1.989.885,31;;1.989.885,31
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90010;JUSTICA FEDERAL DE PRIMEIRO GRAU - AL;20TP;ATIVOS CIVIS DA UNIAO;12101;2;122;569;20TP;0;ATIVOS CIVIS DA UNIAO;;;;77.160.790,84;77.046.576,68;114.214,16;77.046.576,68
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90010;JUSTICA FEDERAL DE PRIMEIRO GRAU - AL;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;12101;2;331;569;212B;1;ASSISTENCIA PRE-ESCOLAR AOS DEPENDENTES DE SERVIDORES CIVIS E DE EMPREGADOS;;;;1.014.763,31;1.014.763,31;;1.014.763,31
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90010;JUSTICA FEDERAL DE PRIMEIRO GRAU - AL;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;12101;2;331;569;212B;3;AUXILIO-TRANSPORTE DE CIVIS;;;;249.293,90;249.293,90;;249.293,90
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90010;JUSTICA FEDERAL DE PRIMEIRO GRAU - AL;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;12101;2;331;569;212B;5;AUXILIO-ALIMENTACAO DE CIVIS;;;;4.201.619,15;4.201.619,15;;4.201.619,15
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90010;JUSTICA FEDERAL DE PRIMEIRO GRAU - AL;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;12101;2;331;569;212B;9;AUXILIO-FUNERAL E NATALIDADE DE CIVIS;;;;9.927,81;9.927,81;;9.927,81
12000;JUSTICA FEDERAL;12101;JUSTICA FEDERAL DE PRIMEIRO GRAU;90010;JUSTICA FEDERAL DE PRIMEIRO GRAU - AL;216H;AJUDA DE CUSTO PARA MORADIA OU AUXILIO-MORADIA A AGENTES PUB;12101;2;122;569;216H;0;AJUDA DE CUSTO PARA MORADIA OU AUXILIO-MORADIA A AGENTES PUBLICOS - DESPESAS DIVERSAS;;;;201.820,12;201.820,12;;201.820,12
